ZONE 1; wall=Boundary_Left_0011; min body clearance=5,88m; center=(-19.112, 1.250, 49.099)
person 00; pose=Male_Standing_Waving; pos=(-16.985, -0.044, 44.966); yaw=95,95
person 01; pose=Female_Standing_CoveringEyes; pos=(-16.548, -0.049, 46.279); yaw=107,64
person 02; pose=Male_Standing; pos=(-16.281, -0.047, 47.922); yaw=120,25
person 03; pose=Female_Standing_Hips; pos=(-15.957, -0.027, 50.715); yaw=104,84
person 04; pose=Male_Standing_Waving; pos=(-15.733, -0.015, 52.190); yaw=119,18
person 05; pose=Female_Standing_CoveringEyes; pos=(-19.157, 0.108, 45.366); yaw=97,69
person 06; pose=Male_Standing; pos=(-18.514, 0.080, 47.148); yaw=109,33
person 07; pose=Female_Standing_Hips; pos=(-18.017, 0.062, 48.360); yaw=100,57
person 08; pose=Male_Standing_Waving; pos=(-17.085, 0.042, 50.753); yaw=112,43
person 09; pose=Female_Standing_CoveringEyes; pos=(-16.847, 0.060, 52.383); yaw=128,88
person 10; pose=Male_Standing; pos=(-21.274, 0.384, 45.764); yaw=104,99
person 11; pose=Female_Standing_Hips; pos=(-20.455, 0.316, 47.665); yaw=114,82
person 12; pose=Male_Standing_Waving; pos=(-19.627, 0.247, 49.011); yaw=111,48
person 13; pose=Female_Standing_CoveringEyes; pos=(-19.665, 0.338, 51.380); yaw=123,73
person 14; pose=Male_Standing; pos=(-18.722, 0.286, 53.321); yaw=119,65
person 15; pose=Female_Standing_Hips; pos=(-22.722, 0.673, 46.198); yaw=103,60
person 16; pose=Male_Standing_Waving; pos=(-21.917, 0.557, 47.427); yaw=109,30
person 17; pose=Female_Standing_CoveringEyes; pos=(-21.645, 0.594, 49.568); yaw=98,12
person 18; pose=Male_Standing; pos=(-21.002, 0.550, 51.170); yaw=104,58
person 19; pose=Female_Standing_Hips; pos=(-20.482, 0.541, 52.847); yaw=113,43
ZONE 2; wall=Boundary_Right_0072; min body clearance=5,38m; center=(98.851, 1.250, 254.896)
person 00; pose=Female_Standing_CoveringEyes; pos=(95.953, -0.014, 251.643); yaw=291,44
person 01; pose=Male_Standing; pos=(96.083, -0.003, 252.833); yaw=269,53
person 02; pose=Female_Standing_Hips; pos=(95.489, -0.037, 255.654); yaw=275,94
person 03; pose=Male_Standing_Waving; pos=(96.476, -0.007, 257.274); yaw=259,01
person 04; pose=Female_Standing_CoveringEyes; pos=(96.225, -0.054, 258.826); yaw=275,48
person 05; pose=Male_Standing; pos=(97.866, 0.158, 251.125); yaw=298,38
person 06; pose=Female_Standing_Hips; pos=(97.606, 0.137, 252.601); yaw=278,07
person 07; pose=Male_Standing_Waving; pos=(98.069, 0.209, 254.526); yaw=287,65
person 08; pose=Female_Standing_CoveringEyes; pos=(98.062, 0.162, 256.421); yaw=278,49
person 09; pose=Male_Standing; pos=(98.483, 0.051, 259.228); yaw=278,39
person 10; pose=Female_Standing_Hips; pos=(99.777, 0.460, 251.212); yaw=278,66
person 11; pose=Male_Standing_Waving; pos=(99.081, 0.363, 253.159); yaw=272,77
person 12; pose=Female_Standing_CoveringEyes; pos=(100.094, 0.561, 254.668); yaw=278,34
person 13; pose=Male_Standing; pos=(99.988, 0.453, 256.300); yaw=267,55
person 14; pose=Female_Standing_Hips; pos=(99.849, 0.162, 259.111); yaw=250,64
person 15; pose=Male_Standing_Waving; pos=(100.780, 0.689, 250.896); yaw=277,77
person 16; pose=Female_Standing_CoveringEyes; pos=(100.932, 0.750, 252.542); yaw=261,77
person 17; pose=Male_Standing; pos=(101.519, 0.961, 254.353); yaw=258,17
person 18; pose=Female_Standing_Hips; pos=(101.271, 0.630, 256.684); yaw=259,64
person 19; pose=Male_Standing_Waving; pos=(102.037, 0.437, 258.490); yaw=269,39
ZONE 3; wall=Boundary_Left_0098; min body clearance=5,56m; center=(164.594, 1.250, 280.838)
person 00; pose=Male_Standing; pos=(161.182, -0.018, 278.210); yaw=168,09
person 01; pose=Female_Standing_Hips; pos=(163.088, -0.031, 277.563); yaw=187,09
person 02; pose=Male_Standing_Waving; pos=(164.134, -0.017, 277.746); yaw=162,10
person 03; pose=Female_Standing_CoveringEyes; pos=(166.209, -0.017, 277.886); yaw=178,76
person 04; pose=Male_Standing; pos=(168.164, -0.084, 277.679); yaw=201,35
person 05; pose=Female_Standing_Hips; pos=(160.269, 0.095, 279.980); yaw=171,78
person 06; pose=Male_Standing_Waving; pos=(162.935, 0.213, 280.212); yaw=167,79
